helpful,name,postDate,reviewBody,reviewTitle,starRating,verifiedPurchase
3 people found this helpful,A. Wright,"Reviewed in the United States on April 3, 2021",I read this in one sitting and couldn't stop. I was constantly second guessing who did what until the end. Loved the story line and obnoxious characters.I received this free through Amazon prime but would have gladly paid for it.,Lots of twists,5.0 out of 5 stars,Verified Purchase
2 people found this helpful,D. Blackmon,"Reviewed in the United States on April 10, 2021","This book caught me from the first page, which is nice. It's a fast read, because you want to know what will happen. However there was a lot of repetition, which slowed it down a bit, in fact a lot as the book went on. Otherwise, I would have given this a higher rating. I enjoyed, and recommend this book, especially if you enjoy three pathetic, conniving, and vindictive women, and one weak, and adulterous male.",Interesting,3.0 out of 5 stars,Verified Purchase
One person found this helpful,Coton-Enthusiast,"Reviewed in the United States on April 4, 2021",Great read! I love this author’s writing style. All the lead characters were pretty unlikeable but their devious personalities made for a very entertaining novel. Looking forward to more from this author.,Entertaining from start to finish,5.0 out of 5 stars,Verified Purchase
One person found this helpful,Kindle Customer MP,"Reviewed in the United States on April 14, 2021","Although the story line is very good, I was extremely disappointed in the style of writing. To appear as a best seller on Amazon's list, I expected a better quality of story telling. I found the writing to be very amateurish.",Not Worth Your Time,1.0 out of 5 stars,Verified Purchase
One person found this helpful,poodles2,"Reviewed in the United States on April 11, 2021",This is a story about a bunch of awful people. Really. What is the point. I can’t imagine spending so much time writing about horrible amoral characters. I found no redeeming factors in this book.,Ick,2.0 out of 5 stars,Verified Purchase
One person found this helpful,Jenna Roscoe ,"Reviewed in the United States on April 14, 2021",I couldn't put this book down or leave my phone alone. It's so easy to get caught up in the book! I fell in love with Kate and how strong she was. It's better to be the first and not the second!,Great Read,5.0 out of 5 stars,Verified Purchase
3 people found this helpful,val67,"Reviewed in the United States on April 12, 2021","I picked this as my free read from Prime- I wish I would have chosen differently- although I live in the area that the story takes place, which is always interesting. Much of the story seemed implausible ...it was a quick but uneventful read",No real substance,2.0 out of 5 stars,Verified Purchase
2 people found this helpful,Jane B.,"Reviewed in the United States on April 6, 2021","This was a great read full of suspense. A book you start and can't put down, it kept you completely immersed in the story. I highly recommend to anyone interested in mystery and suspense.",The next wife,5.0 out of 5 stars,Verified Purchase
One person found this helpful,sunflowerj,"Reviewed in the United States on April 2, 2021",I love this novel it's a twisty diabolical read. Mothers and daughter s are more alike than they know...Kaira Rouda is a master story teller. I love all her books.I recommend,Excellent,5.0 out of 5 stars,Verified Purchase
2 people found this helpful,Amazon Customer,"Reviewed in the United States on April 10, 2021","I found the the dialogue was poor. Plot idea was good, but the execution of it was awful. Predictable and silly.",Amateurish,1.0 out of 5 stars,Verified Purchase
One person found this helpful,PJSVB,"Reviewed in the United States on April 10, 2021","Two women scorned is a recipe for disaster. John was doomed the minute he crossed that line with his first wife. The story is interesting and comes from two perspectives, the first wife and the second wife. Adding to the tension is a fortune at stake. The end was not a total surprise but the vehemence was. Good read.",John never had a chance!,5.0 out of 5 stars,Verified Purchase
One person found this helpful,pjs,"Reviewed in the United States on April 9, 2021","This isn't the type of book I normally read, but thought I would try it. It was excellent! I couldn't stop reading it. A good mystery, it has a surprise ending.",Excellent!,5.0 out of 5 stars,Verified Purchase
One person found this helpful,Kindle Customer,"Reviewed in the United States on April 4, 2021","From the beginning, I wasn't sure how much I would like this story. I read it to the end, because that's what I do. In the end, I'm glad I read it.",Happyreader,4.0 out of 5 stars,Verified Purchase
One person found this helpful,K. Mann,"Reviewed in the United States on April 7, 2021","Quick chapters, that was the best part to keep this story readable.Each character for too long would have forced me to put this book down.First read from this author and I can say her world that she has created is just full off too over the top fiction for me.It did hold my attention.",Held my attention,3.0 out of 5 stars,Verified Purchase
2 people found this helpful,Kindle Customer,"Reviewed in the United States on April 6, 2021",I had my suspicions about who was the killer and I was partially right in the end. Loved this book! I’m going to see what else this author wrote!,Loved this!,5.0 out of 5 stars,Verified Purchase
One person found this helpful,Carmen,"Reviewed in the United States on April 3, 2021","This was such a fun read. I could t put it down, had some unexpected twists that kept me guessing for a quite while! Enjoyed this book very much",Quick and fun read,5.0 out of 5 stars,Verified Purchase
2 people found this helpful,Rena,"Reviewed in the United States on April 14, 2021",The villain was a little too dumb for my taste but I couldn't put it down. A great suspense mystery. It kept my attention all the way to the end.,Good twist,4.0 out of 5 stars,Verified Purchase
One person found this helpful,KSB,"Reviewed in the United States on April 7, 2021","Great read. I thought I had it figured out several times & did by the end as all the clues were there but it still kept my interest throughout. One of the best revenge books ever. Characters felt real and having had a similar divorce experience, of course without the millons, I could relate.",Wow,5.0 out of 5 stars,Verified Purchase
2 people found this helpful,S. Wilson-Borba,"Reviewed in the United States on April 6, 2021",People repeated things too much in their head. Plus the characters were unlikeable. The ending just fell apart and didn’t make sense.,Boring,1.0 out of 5 stars,Verified Purchase
2 people found this helpful,Kindle Sophia,"Reviewed in the United States on April 4, 2021","Kaira Rouda knocked it out of the ballpark. This story held you from page one. I couldn't read this fast enough to find out how it would end. Great ending, I never saw this coming.You",Amazing,5.0 out of 5 stars,Verified Purchase
2 people found this helpful,Melissa King,"Reviewed in the United States on April 5, 2021",This book is very well written and gives great imagery. I don’t read often but once I started on this one I couldn’t stop! This is a must read! I’d say more but I don’t want to ruin it for you!!,"Man, oh man!",5.0 out of 5 stars,Verified Purchase
One person found this helpful,Kindle Customer,"Reviewed in the United States on April 10, 2021",Twists and turns throughout this gripping read. When you think you have it all figured out SURPRISE you were totally wrong,Fabulous,5.0 out of 5 stars,Verified Purchase
2 people found this helpful,Elizabeth Fletcher,"Reviewed in the United States on April 5, 2021",The author pulls you into the story. You just want to keep reading to find out what happens. This will keep you guessing.,Couldn’t put it down!,5.0 out of 5 stars,Verified Purchase
2 people found this helpful,Dr J,"Reviewed in the United States on April 4, 2021","It’s not easy to write using a formula for a suspense fiction novel and at the same time be unpredictable, leaving the reader wondering and then - surprise after surprise, time after time - shifting gears and changing things up. This book definitely accomplished this and then some.",Great unexpected twists,5.0 out of 5 stars,Verified Purchase
2 people found this helpful,Wrkatreading,"Reviewed in the United States on April 4, 2021",What a great and different book. The cliched midlife crisis the old wife and the new wife. I was cheering at the end.,⭐️,5.0 out of 5 stars,Verified Purchase
One person found this helpful,Phil P.,"Reviewed in the United States on April 8, 2021",The ending was predictable. I am not a fan of stories that flip from character to tell the story. Skip this one.,Nothing special about this book,3.0 out of 5 stars,Verified Purchase
One person found this helpful,Spicy,"Reviewed in the United States on April 3, 2021","This story switches back and forth between the three main characters in telling their feelings. There is dialogue here and there. The ending was not unexpected. It may answer the question some may have ------ Who has it worse, the original wife or the next one?",love it or hate it story,4.0 out of 5 stars,Verified Purchase
2 people found this helpful,Debbie Arnold,"Reviewed in the United States on April 4, 2021","The Next Wife was a fun book to read. Every time I thought I had it figured out, the author threw in another kink.",Really fun read!,5.0 out of 5 stars,Verified Purchase
One person found this helpful,kaykay,"Reviewed in the United States on April 13, 2021","the story was predictable but fast paced. An easy weekend read, a few twists here and there not the worst book I’ve read",eh,2.0 out of 5 stars,Verified Purchase
2 people found this helpful,tony,"Reviewed in the United States on April 11, 2021",The characters were not interesting and neither was the plot. If I could give this book zero stars I would.k,Terrible book,1.0 out of 5 stars,Verified Purchase
One person found this helpful,Linda Romer,"Reviewed in the United States on April 11, 2021","I liked The Next Wife. This was a good, not great suspense novel. I just couldn't vibe with the characters and I figured out what was happening pretty much from the beginning. I didn't like the formatting, to many short meaningless chapters.",An okay read,3.0 out of 5 stars,Verified Purchase
2 people found this helpful,B.W.,"Reviewed in the United States on April 5, 2021","When a first and second wife appear to have the same goal in mind, but separately, things can turn extremely nasty. This was a case of which wife had the most to lose and which one was the most vindictive. Middle of the road first read.",Not horrible,3.0 out of 5 stars,Verified Purchase
2 people found this helpful,Aunt Susan,"Reviewed in the United States on April 7, 2021","Too many of the same words. The repeated, over and over, personal thoughts made me speed read just to get to the end. This would be a good short story.Enjoyed the story outline. The ending must have been the inspiration for the story.",Too wordy. Should be a short story not novel.,3.0 out of 5 stars,Verified Purchase
2 people found this helpful,Kindle Customer,"Reviewed in the United States on April 12, 2021","I stopped at roughly 66% through. It was as though one author started the book & then another took over. The writing is what I refer to as ""jerky writing"". Moving from point 1 to Z with no fluidity. Extremely repetitive. Overall just not good.",Skip it.,1.0 out of 5 stars,Verified Purchase
One person found this helpful,Patty,"Reviewed in the United States on April 10, 2021","A great work of entertainment. I could not put it down. So amazing how it looked like the book was headed in one direction and wham, it took the exact opposite turn. I recommend this book.",The Next Wife by Makes Rouda,5.0 out of 5 stars,Verified Purchase
One person found this helpful,PumpkinRuse,"Reviewed in the United States on April 8, 2021",This story was so well written and divided into segments just beautifully.What a great story. What a brilliant storyteller.Kudos!!!Now I want to read MORE by this author.,Loved it!,4.0 out of 5 stars,Verified Purchase
One person found this helpful,Sameera,"Reviewed in the United States on April 4, 2021",The premise intrigued me but I do wish that the story wasn't so easy to figure out. Good for a beach read!,Gripping but kind of predictable,3.0 out of 5 stars,Verified Purchase
One person found this helpful,Ninety,"Reviewed in the United States on April 11, 2021","At under 300 pages, and 4 major points of view, the characters have no depth. What should have been a three hour read, I struggled through in a week. While this was a free Amazon reads book, I wouldn’t suggest anyone pay more than 0.00 for it.",So very predictable,1.0 out of 5 stars,Verified Purchase
2 people found this helpful,SND,"Reviewed in the United States on April 15, 2021","I downloaded this book, started reading and couldn't put it down til I finished. Had all the components to keep me interested, super villan, good characters, super plot twst and turns and moved at a steady pace. I loved it",Couldn't put this one down.,5.0 out of 5 stars,Verified Purchase
One person found this helpful,Lori,"Reviewed in the United States on April 13, 2021","Nice plot twists to keep you interested. All in all, a great beach book for those with a darker mind",Good read,4.0 out of 5 stars,Verified Purchase
One person found this helpful,GFig,"Reviewed in the United States on April 14, 2021","I read this book in two days, I couldn’t put it down. I liked that it keeps moving not a dull moment! I recommend.",Great Read!!!,5.0 out of 5 stars,Verified Purchase
2 people found this helpful,Thelma E. Kingsbury,"Reviewed in the United States on April 10, 2021",A page turner! I could not put it down. Kept me on the edge and wanting to know what came next.,Thrilling Book,5.0 out of 5 stars,Verified Purchase
One person found this helpful,Franniebee,"Reviewed in the United States on April 7, 2021",Wow this book grabs you and will keep you guessing to the very end. I can’ wait to read more of this author .!,Page turner,5.0 out of 5 stars,Verified Purchase
One person found this helpful,Karen Ballou,"Reviewed in the United States on April 6, 2021","I'm not going to lie, this book is reminiscent of a soap opera, so much drama! I thoroughly enjoyed it & was actually surprised by the ending. This was fast-paced enough to be a very quick read. Loved it!",So much drama!,5.0 out of 5 stars,Verified Purchase
21 people found this helpful,Denise,"Reviewed in the United States on April 10, 2021","Each character’s thoughts, words and actions propel this story from begin to end. The plot seems simple but the real story keeps the reader guessing.",Twisted tale,4.0 out of 5 stars,Verified Purchase
2 people found this helpful,Jamie Bee,"Reviewed in the United States on April 1, 2021","This is likely a book you will either love or hate. I loved the way the author was able to create characters that you “love to hate.” From the first page, the glimpse into the mind of “the next wife” shows a perspective that makes us cringe. At least me. I did not like Tish at all. But I loved the author’s mastery at showing precisely what this woman was all about in just a few paragraphs. It was similar with the other characters, especially the female ones—the previous wife and the daughter from that first marriage. If you enjoy books that provide deep characterization into both likable and unlikable complex characters, you will probably enjoy this book. If you don't enjoy books where you follow characters who are inherently unlikeable (and perhaps even evil), this book will most likely not be for you. I'm not usually one who enjoys books with unlikeable characters, but this author wrote to them so well that I simply enjoyed the ride.I received a free copy of this book, but that did not affect my review.","Twisty, Turny Tale",5.0 out of 5 stars,Verified Purchase
One person found this helpful,Kindle Customer,"Reviewed in the United States on April 15, 2021",The plot was somewhat interesting but the writing and repetitiveness made it seem more like a high school creative writing assignment. I’m surprised she has several published books.,Ehh,2.0 out of 5 stars,Verified Purchase
One person found this helpful,DeenaKay,"Reviewed in the United States on April 14, 2021",What a ending. It had me on the edge the whole book. Is a must read for the summer time,Keeps you on your toes,5.0 out of 5 stars,Verified Purchase
One person found this helpful,Kathy L Webster,"Reviewed in the United States on April 10, 2021",It is a very captivating book. I had trouble putting it down. Characters were well developed. The ending was a surprise.,Excellent,5.0 out of 5 stars,Verified Purchase
One person found this helpful,Kemmiepie1,"Reviewed in the United States on April 8, 2021",This was my free First Read pic for April. If your looking for something fun to read at the beach this is your book. Light reading - I read it in 2 days.,FUN BEACH READ,4.0 out of 5 stars,Verified Purchase
One person found this helpful,Amazon Customer,"Reviewed in the United States on April 11, 2021","This was a great page turner. The twist at the very end was unexpected. Love that it was based in Columbus, Ohio.",Page Turner,4.0 out of 5 stars,Verified Purchase
2 people found this helpful,Brittany Taylor,"Reviewed in the United States on April 5, 2021","A lot of twist and turns,very clever with the set up of plots in each chapters and characters!Great & Loved the ending!!",Great read,5.0 out of 5 stars,Verified Purchase
One person found this helpful,Sally Cooper2,"Reviewed in the United States on April 11, 2021",As I read the book I found that I could not put it down. A must read. Highly recommend it. Ending such a surprise.,Completely unexpected?,5.0 out of 5 stars,Verified Purchase
19 people found this helpful,Grace Ngere,"Reviewed in the United States on April 12, 2021","Couldn't put the book down, that's how good it is; the suspense drove me to want to keep reading to know what next",Intriguing,5.0 out of 5 stars,Verified Purchase
3 people found this helpful,Shikina Calimee,"Reviewed in the United States on April 12, 2021",This will make for a great movie. I read this book in one day. Looking forward to reading more books from Kaira.,True head spinner,5.0 out of 5 stars,Verified Purchase
2 people found this helpful,Robin,"Reviewed in the United States on April 1, 2021","Woven with deftly crafted tension and a keen sense for domestic suspense, this author knows how to write a truly riveting tale of passionate jealousy and the always cunning pursuit for power - within intimate relationships, within the social constructs of this chaotic world, and even within one's self. 10/10!",BRILLIANT,5.0 out of 5 stars,Verified Purchase
One person found this helpful,"ROROBLUSMUM - no retreat, no surrender","Reviewed in the United States on April 11, 2021","This book was suggested as an Amazon First Reads, and I have to say that it was a good intro to the author. I only took a brief look at the blurb, so wasn't prepared for the multi POV aspect to the tale, or the shades of grey, or the double crossing and conniving and scheming, but it was well done, with the by-line of the female of the species being more deadly than the male.I think John needed to be a slightly stronger character to have inspired so many different feelings in these three women, but that was pretty much my only gripe with the tale. I had to admire, I suppose is the word, each female to differing degrees, and tbh, the Kate twist was pretty well done. The country hick second wife and her sociopathy was a little stereotypical of a woman on the make having a reason for it, but she went into every chosen relationship with an agenda and was prepared to do what it took, so I had no sympathy for where she ended up. Yes, the ending was harsh and a little hypocritical, but hey, she was a beeotch and she got what she deserved.",The female of the species is more deadly than the male. This sent shivers down my spine.,4.0 out of 5 stars,Verified Purchase
